fighter,opponent,odds,event,date
Mike Malott,Yohan Lainesse,1.43,UFC Fight Night 220,
Mike Malott,Neil Magny,1.44,UFC 297,
Mike Malott,Adam Fugitt,1.3,UFC 289,
Mike Malott,Charles Radtke,1.5,UFC,
Mike Malott,Trevin Giles,1.36,UFC Fight Night,
Mike Malott,Kevin Holland,1.67,UFC Fight Night,
Mike Malott,Shimon Smotritsky,2.1,DWCS Week 6,
Aiemann Zahabi,Reginaldo Vieira,1.61,UFC Fight Night 105: Lewis vs. Browne,
Aiemann Zahabi,Drako Rodriguez,2.7,UFC Fight Night 185: Blaydes vs. Lewis,
Aiemann Zahabi,Ricky Turcios,2.6,UFC on ESPN: dos Anjos vs. Fiziev,
Aiemann Zahabi,Aori Qileng,2.9,UFC 289,
Aiemann Zahabi,Javid Basharat,2.64,UFC,
Aiemann Zahabi,Jose Aldo,2.4,UFC,
Aiemann Zahabi,Vince Morales,1.47,UFC on ESPN+ 9: Iaquinta vs. Cowboy,
Aiemann Zahabi,Pedro Munhoz,2.15,UFC Fight Night,
Aiemann Zahabi,Ricardo Ramos,1.91,UFC 217: Bisping vs. St-Pierre,
Aiemann Zahabi,Marlon Vera,1.72,UFC Fight Night,
Marlon Vera,Rob Font,2.5,UFC Fight Night: Font vs. Vera,
Marlon Vera,Dominick Cruz,1.65,UFC Fight Night: Vera vs. Cruz,
Marlon Vera,Sean O'Malley,1.45,UFC 252: Miocic vs. Cormier 3,
Marlon Vera,Pedro Munhoz,1.54,UFC,
Marlon Vera,Deiveson Figueiredo,1.95,UFC,
Marlon Vera,Wuliji Buren,1.43,UFC 227: Dillashaw vs. Garbrandt 2,
Marlon Vera,Roman Salazar,1.83,UFC Fight Night 73: Saint Preux vs. Teixeira,
Marlon Vera,Jose Aldo,2.05,UFC Fight Night 183: Thompson vs. Neal,
Marlon Vera,Davey Grant,2.75,UFC Fight Night 84: Silva vs. Bisping,
Marlon Vera,Douglas Silva de Andrade,1.63,UFC Fight Night 125: Machida vs. Anders,
Marlon Vera,Brian Kelleher,2.5,UFC on FOX 25: Weidman vs. Gastelum,
Marlon Vera,Nohelin Hernandez,1.31,UFC 239: Jones vs. Santos,
Marlon Vera,Davey Grant,1.31,UFC on ESPN: The Korean Zombie vs. Ige,
Marlon Vera,Sean O'Malley,2.64,UFC 299,
Marlon Vera,Brad Pickett,2.45,UFC Fight Night 107: Manuwa vs. Anderson,
Marlon Vera,Frankie Saenz,1.41,UFC on ESPN+ 6: Thompson vs. Pettis,
Marlon Vera,Cory Sandhagen,2.43,UFC Fight Night 222,
Marlon Vera,Song Yadong,2.5,UFC on ESPN 8: Overeem vs. Harris,
Marlon Vera,Marco Antonio Beltran,1.37,UFC 180: Werdum vs. Hunt,
Marlon Vera,Guido Cannetti,1.38,UFC Fight Night 140: Magny vs. Ponzinibbio,
Marlon Vera,Ning Guangyou,1.8,UFC Fight Night 101: Whittaker vs. Brunson,
Marlon Vera,Frankie Edgar,1.5,UFC 268: Usman vs. Covington 2,
Marlon Vera,Andre Ewell,1.51,UFC on ESPN+ 19: Joanna vs. Waterson,
Marlon Vera,Aiemann Zahabi,2.05,UFC Fight Night,
Marlon Vera,John Lineker,3.35,UFC Fight Night 119: Machida vs. Brunson,
Cody Gibson,Louie Sanoudakis,1.53,XMMA 2,
Cody Gibson,Ulysses Gomez,,Tachi Palace Fights 11: Redemption,
Cody Gibson,Walel Watson,,Tachi Palace Fights 9,
Cody Gibson,David Bollea,,Tachi Palace Fights 5,
Cody Gibson,Brad Katona,2.54,UFC,
Cody Gibson,Darin Cooley,,War MMA 1,
Cody Gibson,Andrew Whitney,2.2,Titan Fighting Championship 24,
Cody Gibson,Manny Gamburyan,1.71,UFC 178: Johnson vs. Cariaso,
Cody Gibson,Ray Borg,2.5,EFC 44,
Cody Gibson,Ray Borg,2.45,EFC 44,
Cody Gibson,Brian Kelleher,1.4,UFC Fight Night,
Cody Gibson,Gustavo Erak,1.8,LFA 51,
Cody Gibson,Aljamain Sterling,3.25,UFC 170: Rousey vs. McMann,
Cody Gibson,Da'mon Blackshear,3.85,UFC Fight Night,
Cody Gibson,Miles Johns,1.87,UFC,
Cody Gibson,Chad Anheliger,1.77,UFC Fight Night,
Cody Gibson,Qileng Aori,1.79,UFC Fight Night,
Cody Gibson,Aoriqileng,2.45,UFC Fight Night,
Cody Gibson,John Dodson,2.9,XMMA 3,
Cody Gibson,Johnny Bedford,2.6,UFC Fight Night 44: Swanson vs. Stephens,
Cody Gibson,Douglas Silva de Andrade,1.38,UFC Fight Night 61: Bigfoot vs. Mir,
Qileng Aori,Cameron Else,,UFC Fight Night 207,
Qileng Aori,Cameron Else,1.44,UFC Fight Night: Lemos vs. Andrade,
Qileng Aori,Jeffrey Molina,1.87,UFC 261: Usman vs. Masvidal 2,
Qileng Aori,Jay Perrin,1.54,UFC 278: Usman vs. Edwards 2,
Qileng Aori,Daniel Marcos,2.63,UFC,
Qileng Aori,Cody Durden,2.25,UFC Fight Night: Vieira vs. Tate,
Qileng Aori,Cody Gibson,2.02,UFC Fight Night,
Qileng Aori,Johnny Munoz Jr.,1.7,UFC Fight Night,
Qileng Aori,Raul Rosas Jr.,5.8,UFC 306,
Jasmine Jasudavicius,Viviane Araujo,1.67,UFC,
Jasmine Jasudavicius,Elise Reed,,CFFC 83: Jasudavicius vs. Reed,
Jasmine Jasudavicius,Gabriella Gulfin,,CFFC 81: Sabatini vs. Gonzalez,
Jasmine Jasudavicius,Mayra Bueno Silva,2,UFC,
Jasmine Jasudavicius,Natalia Silva,1.38,UFC Fight Night: Kattar vs. Emmett,
Jasmine Jasudavicius,Tracy Cortez,1.96,UFC,
Jasmine Jasudavicius,Julia Polastri,1.91,DWCS Week 3,
Jasmine Jasudavicius,Priscila Cachoeira,1.52,UFC 297,
Jasmine Jasudavicius,Fatima Kline,1.83,UFC Fight Night,
Jasmine Jasudavicius,Gabriella Fernandes,1.59,UFC Fight Night 220,
Jasmine Jasudavicius,Kay Hansen,1.95,UFC 270,
Jasmine Jasudavicius,Jessica Andrade,1.36,UFC,
Jasmine Jasudavicius,Ariane da Silva,1.61,UFC Fight Night,
Jasmine Jasudavicius,Ariane Lipski,1.49,UFC Fight Night,
Jasmine Jasudavicius,Manon Fiorot,2.63,UFC Fight Night,
Jasmine Jasudavicius,Ashley Deen,,CFFC 93: Huckbody vs. Jeffery,
Jasmine Jasudavicius,Miranda Maverick,2.9,UFC 289,
Manon Fiorot,Jessica Eye,1.22,UFC Fight Night 204,
Manon Fiorot,Leah McCourt,,Cage Warriors 94: Bouland vs. Topuria,
Manon Fiorot,Katlyn Chookagian,,UFC Fight Night: Gane vs. Tuivasa,
Manon Fiorot,Victoria Leonardo,1.91,UFC on ESPN 20: Chiesa vs. Magny,
Manon Fiorot,Jennifer Maia,1.44,UFC Fight Night 207,
Manon Fiorot,Erin Blanchfield,2.2,UFC,
Manon Fiorot,Mayra Bueno,1.45,UFC Fight Night: Ladd vs. Dumont,
Manon Fiorot,Valentina Shevchenko,1.85,UFC,
Manon Fiorot,Tabatha Ricci,1.22,UFC Fight Night 189: Rozenstruik vs. Sakai,
Manon Fiorot,Jasmine Jasudavicius,1.44,UFC Fight Night,
Manon Fiorot,Katlyn Chookagian,1.57,UFC 281,
Manon Fiorot,Rose Namajunas,1.5,UFC on ESPN: Gane vs. Spivak,
Manon Fiorot,Jessica Andrade,1.87,UFC Fight Night: Gane vs. Tuivasa,
Aoriqileng,Cody Gibson,1.59,UFC Fight Night,
Aoriqileng,Johnny Munoz,1.67,UFC Fight Night,
Aoriqileng,Raul Rosas Jr.,4.5,UFC 306,
Cody Gibson,Louie Sanoudakis,1.53,XMMA 2,
Cody Gibson,Ulysses Gomez,,Tachi Palace Fights 11: Redemption,
Cody Gibson,Walel Watson,,Tachi Palace Fights 9,
Cody Gibson,David Bollea,,Tachi Palace Fights 5,
Cody Gibson,Brad Katona,2.54,UFC,
Cody Gibson,Darin Cooley,,War MMA 1,
Cody Gibson,Andrew Whitney,2.2,Titan Fighting Championship 24,
Cody Gibson,Manny Gamburyan,1.71,UFC 178: Johnson vs. Cariaso,
Cody Gibson,Ray Borg,2.5,EFC 44,
Cody Gibson,Ray Borg,2.45,EFC 44,
Cody Gibson,Brian Kelleher,1.4,UFC Fight Night,
Cody Gibson,Gustavo Erak,1.8,LFA 51,
Cody Gibson,Aljamain Sterling,3.25,UFC 170: Rousey vs. McMann,
Cody Gibson,Da'mon Blackshear,3.85,UFC Fight Night,
