fighter,opponent,odds,event,date
Tom Aspinall,Alan Baudot,1.29,UFC on ESPN+ 37: Moraes vs. Sandhagen,
Tom Aspinall,Alexander Volkov,2.24,UFC Fight Night 205,
Tom Aspinall,Jake Collier,1.59,UFC on ESPN 14: Whittaker vs. Till,
Tom Aspinall,Sergey Spivak.,1.33,UFC Fight Night 191,
Tom Aspinall,Curtis Blaydes,1.93,UFC Fight Night: Blaydes vs. Aspinall,
Tom Aspinall,Mickael Ben Hamouda,,Cage Warriors 107: Aspinall vs. Ben Hamouda,
Mackenzie Dern,Nina Nunes,2.3,UFC on ABC 2: Vettori vs. Holland,
Mackenzie Dern,Tecia Torres,1.91,UFC 273,
Mackenzie Dern,Loopy Godinez,2.24,UFC,
Mackenzie Dern,Virna Jandiroba,1.71,UFC 256: Figueiredo vs. Moreno,
Mackenzie Dern,Kaline Medeiros,1.17,Invicta FC 26: Maia vs. Niedzwiedz,
Mackenzie Dern,Amanda Lemos,2.64,UFC 298,
Mackenzie Dern,Amanda Ribas,2.4,UFC Fight Night,
Mackenzie Dern,Kenia Rosas,1.05,Legacy FC 58: Drysdale vs. Spann,
Mackenzie Dern,Katherine Roy,1.07,LFA 6: Junior vs. Rodriguez,
Mackenzie Dern,Ashley Yoder,1.21,UFC 222: Cyborg vs. Kunitskaya,
Mackenzie Dern,Amanda Cooper,1.19,UFC 224: Nunes vs. Pennington,
Mackenzie Dern,Angela Hill,1.53,UFC Fight Night 226,
Mackenzie Dern,Hannah Cifers,1.41,UFC on ESPN 9: Woodley vs. Burns,
Mackenzie Dern,Jessica Andrade,1.56,UFC,
Mackenzie Dern,Yan Xiaonan.,1.54,UFC Vegas 57,
Mackenzie Dern,Amanda Ribas,1.41,UFC on ESPN+ 19: Joanna vs. Waterson,
Mackenzie Dern,Mandy Polk,1.08,LFA 24: Frincu vs. Millender,
Mackenzie Dern,Montana Stewart,1.2,Legacy FC 61: Peterson vs. De La Rosa,
Mackenzie Dern,Virna Jandiroba,2.64,UFC 321 Odds,
Mackenzie Dern,Marina Rodriguez,1.54,UFC Fight Night: Dern vs. Rodriguez,
Mackenzie Dern,Randa Markos,1.3,UFC on ESPN+ 36: Covington vs. Woodley,
Virna Jandiroba,Yan Xiaonan,1.53,UFC,
Virna Jandiroba,Carla Esparza,2.25,UFC on ESPN+ 8: Jacare vs. Hermansson,
Virna Jandiroba,Felice Herrig,1.47,UFC 252: Miocic vs. Cormier 3,
Virna Jandiroba,Mackenzie Dern,2.2,UFC 256: Figueiredo vs. Moreno,
Virna Jandiroba,Mallory Martin,1.65,UFC on ESPN 7: Overeem vs. Rozenstruik,
Virna Jandiroba,Amy Montenegro,1.33,Invicta FC 26: Maia vs. Niedzwiedz,
Virna Jandiroba,Amanda Lemos,1.67,UFC Fight Night,
Virna Jandiroba,Kanako Murata,1.8,UFC on ESPN: The Korean Zombie vs. Ige,
Virna Jandiroba,Mizuki Inoue,1.83,Invicta FC 28: Mizuki vs. Jandiroba,
Virna Jandiroba,Lupita Godinez,2.42,UFC,
Virna Jandiroba,Angela Hill,1.71,UFC Fight Night 208,
Virna Jandiroba,Marina Rodriguez,3.35,UFC Fight Night 225,
Virna Jandiroba,Mackenzie Dern,1.47,UFC 321 Odds,
Virna Jandiroba,Amanda Ribas,1.91,UFC 267: Brachowicz vs. Teixeira,
Virna Jandiroba,Janaisa Morandin,1.24,Invicta FC 31: Jandiroba vs. Morandin,
Mario Bautista,Cody Garbrandt,,UFC Fight Night 228,
Mario Bautista,Da'mon Blackshear,1.41,UFC,
Mario Bautista,Khalid Taha,1.87,UFC,
Mario Bautista,Jay Perrin,1.37,UFC,
Mario Bautista,Miles Johns,2.75,UFC 247: Jones vs. Reyes,
Mario Bautista,Ricky Simon,1.91,UFC,
Mario Bautista,Cory Sandhagen,4.25,UFC on ESPN+ 1: Cejudo vs. Dillashaw,
Mario Bautista,Jin Soo Son,2.85,UFC on ESPN 4: Dos Anjos vs. Edwards,
Mario Bautista,Brian Kelleher,1.71,UFC on ESPN: Tsarukyan vs. Gamrot,
Mario Bautista,Patrick Mix,2.63,UFC,
Mario Bautista,Guido Cannetti,1.29,UFC Fight Night 221,
Mario Bautista,Trevin Jones,1.77,UFC 259: Blachowicz vs. Adesanya,
Mario Bautista,Benito Lopez,1.38,UFC Fight Night 214ting Championship,
Mario Bautista,Umar Nurmagomedov,4,UFC 321 Odds,
Mario Bautista,Jose Aldo,1.57,UFC,
Umar Nurmagomedov,Raoni Barcelos,,UFC Fight Night 217,
Umar Nurmagomedov,Nate Maness,,UFC Fight Night 208,
Umar Nurmagomedov,Cory Sandhagen,1.36,UFC,
Umar Nurmagomedov,Sidemar Honorio,1.08,"PFL 2019, Week 6",
Umar Nurmagomedov,Raoni Barcelos,1.5,UFC Fight Night 218,
Umar Nurmagomedov,Merab Dvalishvili,1.59,UFC,
Umar Nurmagomedov,Sergey Morozov,1.16,UFC on ESPN 20: Chiesa vs. Magny,
Umar Nurmagomedov,Paul Hughes,1.13,Professional Fighters League,
Umar Nurmagomedov,Nate Maness,1.2,UFC on ESPN: Tsarukyan vs. Gamrot,
Umar Nurmagomedov,Bekzat Almakhan,1.14,UFC,
Umar Nurmagomedov,Brian Kelleher,1.37,UFC Fight Night 204,
Umar Nurmagomedov,Mario Bautista,1.23,UFC 321 Odds,
Alexander Volkov,Arsen Abdulkerimov,,M-1: Fedor vs. Monson,
Alexander Volkov,Arsen Abdulkerimov,,M-1 Challenge XXV: Zavurov vs. Magomedov II,
Alexander Volkov,Tony Johnson,1.33,Bellator 136: Brooks vs. Jansen,
Alexander Volkov,Siala-Mou Siliga,1.38,Bellator Fighting Championship 116: Johnson vs. Ivanov,
Alexander Volkov,Roy Nelson,1.71,UFC on FOX 24: Johnson vs. Reis,
Alexander Volkov,Richard Hale,1.83,Bellator Fighting Championship 84,
Alexander Volkov,Tom Aspinall,3.6,Unconfirmed Fights,
Alexander Volkov,Ciryl Gane,2.88,UFC,
Alexander Volkov,Alistair Overeem,2.05,UFC Fight Night 184: Overeem vs. Volkov,
Alexander Volkov,Curtis Blaydes,3,UFC on ESPN 11: Blaydes vs. Volkov,
Alexander Volkov,Sergei Pavlovich,2.85,UFC,
Alexander Volkov,Cheick Kongo,1.59,Bellator 139: Kongo vs. Volkov,
Alexander Volkov,Ciryl Gane,2.15,UFC Fight Night 190: Gane vs. Volkov,
Alexander Volkov,Jairzinho Rozenstruik,1.63,UFC Fight Night 211,
Alexander Volkov,Alexandr Romanov,1.67,UFC Fight Night 221,
Alexander Volkov,Alexander Romanov,1.91,UFC Fight Night 221,
Alexander Volkov,Fabricio Werdum,2.75,UFC Fight Night 127: Werdum vs. Volkov,
Alexander Volkov,Tom Aspinall,1.68,UFC Fight Night 205,
Alexander Volkov,Mark Holata,1.36,Bellator Fighting Championship 111: Dantas vs. Leone,
Alexander Volkov,Blagoi Ivanov,1.91,Bellator Fighting Championship 120: Rampage vs. King Mo,
Alexander Volkov,Vitaly Minakov,2.45,Bellator Fighting Championship 108: Rampage vs. Beltran,
Alexander Volkov,Timothy Johnson,2.1,UFC Fight Night 99: Mousasi vs. Hall 2,
Alexander Volkov,Vinicius Queiroz,1.51,Bellator Fighting Championship 80,
Alexander Volkov,Greg Hardy,1.57,UFC on ESPN+ 21: Zabit vs. Kattar,
Alexander Volkov,Walt Harris,1.63,UFC 254: Khabib vs. Gaethje,
Alexander Volkov,Jailton Almeida,3.1,UFC 321 Odds,
Alexander Volkov,Marcin Tybura,1.48,UFC 267: Brachowicz vs. Teixeira,
Alexander Volkov,Brett Rogers,1.61,Bellator Fighting Championship 75,
Alexander Volkov,Derrick Lewis,1.54,UFC 229: Nurmagomedov vs. McGregor,
Alexander Volkov,Tai Tuivasa,1.53,UFC 293,
Alexander Volkov,Stefan Struve,1.57,UFC Fight Night 115: Volkov vs. Struve,
Jailton Almeida,Curtis Blaydes,1.53,UFC,
Jailton Almeida,Nasrudin Nasrudinov,2.35,DWCS Week 3,
Jailton Almeida,Serghei Spivac,1.43,UFC,
Jailton Almeida,Anton Turkalj,1.07,UFC 279,
Jailton Almeida,Alexandr Romanov,1.35,UFC,
Jailton Almeida,Curtis Blaydes,1.83,UFC 299,
Jailton Almeida,Shamil Abdurakhimov,1.11,UFC 283,
Jailton Almeida,Danilo Marques,1.48,UFC Fight Night 202,
Jailton Almeida,Jairzinho Rozenstruik,1.32,UFC Fight Night: Smith vs Walker,
Jailton Almeida,Derrick Lewis,1.2,UFC,
Jailton Almeida,Alexander Volkov,1.4,UFC 321 Odds,
Jailton Almeida,Parker Porter,1.33,UFC Fight Night 2010,
Jailton Almeida,Danilo Marques,,UFC Fight Night: Holloway vs. Rodriguez,
Aleksandar Rakic,Jiri Prochazka,1.59,UFC 300,
Aleksandar Rakic,Anthony Smith,1.43,UFC on ESPN+ 33: Smith vs. Rakic,
Aleksandar Rakic,Volkan Oezdemir,1.69,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,
Aleksandar Rakic,Devin Clark,1.25,UFC 231: Holloway vs. Ortega,
Aleksandar Rakic,Justin Ledet,2.45,UFC Fight Night 134: Shogun vs. Smith,
Aleksandar Rakic,Jimi Manuwa,1.35,UFC on ESPN+ 11: Gustafsson vs. Smith,
Aleksandar Rakic,Thiago Santos,1.38,UFC 259: Blachowicz vs. Adesanya,
Aleksandar Rakic,Jan Blachowicz,1.67,UFC Fight Night 208,
Aleksandar Rakic,Azamat Murzakanov,2.15,UFC 321 Odds,
Aleksandar Rakic,Francimar Barroso,1.71,UFC Fight Night 115: Volkov vs. Struve,
Azamat Murzakanov,Dustin Jacoby,2.7,UFC Fight Night: Holloway vs. Allen,
Azamat Murzakanov,Devin Clark,1.57,UFC Fight Night: Vera vs. Cruz,
Azamat Murzakanov,Alonzo Menifield,1.5,UFC,
Azamat Murzakanov,Matheus Scheffel,1.36,DWCS Week 1,
Azamat Murzakanov,Khalil Rountree Jr.,1.57,UFC Fight Night,
Azamat Murzakanov,Jared Vanderaa,1.44,UFC Fight Night: Font vs. Aldo,
Azamat Murzakanov,Philipe Lins,1.44,UFC Fight Night: Font vs. Aldo,
Azamat Murzakanov,Brendson Ribeiro,1.24,UFC,
Azamat Murzakanov,Tafon Nchukwi,2.25,UFC,
Azamat Murzakanov,Dustin Jacoby,2.15,UFC Fight Night 222,
Azamat Murzakanov,Aleksandar Rakic,1.74,UFC 321 Odds,
Louie Sutherland,Daiqwon Buckley,2.3,PFL,
Louie Sutherland,Abraham Bably,1.57,PFL Week 9,
Louie Sutherland,Alton Meeks,4.75,PFL Challenger Series,
Louie Sutherland,Slim Trabelsi,4.5,Bellator Champion Series,
Louie Sutherland,Valter Walker,3.75,UFC 321 Odds,
Valter Walker,Lukasz Brzeski,1.25,UFC,
Valter Walker,Junior Tafa,1.87,UFC,
Valter Walker,Don'tale Mayes,1.56,UFC,
Valter Walker,Kennedy Nzechukwu,2.8,UFC Fight Night,
Valter Walker,Louie Sutherland,1.29,UFC 321 Odds,
Ludovit Klein,Mason Jones,3.75,UFC Fight Night: Blaydes vs. Aspinall,
Ludovit Klein,Mateusz Gamrot,2.18,UFC,
Ludovit Klein,Kamil Selwa,1.19,XFN 11: Back to the O2 Arena,
Ludovit Klein,Jim Miller,1.33,UFC on ESPN: Hermansson vs. Allen,
Ludovit Klein,Thiago Moises,1.83,UFC Fight Night,
Ludovit Klein,Joel Alvarez,2.45,UFC,
Ludovit Klein,Aj Cunningham,1.12,UFC,
Ludovit Klein,Mike Trizano,1.67,UFC on ESPN 24: Rodriguez vs. Waterson,
Ludovit Klein,Aiden Lee,1.71,Cage Warriors 87: Long vs. Soldic,
Ludovit Klein,Nate Landwehr,1.45,UFC Fight Night: Ladd vs. Dumont,
Ludovit Klein,Mateusz Rebecki,2.3,UFC 321 Odds,
Ludovit Klein,Shane Young,2.25,UFC 253: Adesanya vs. Costa,
Ludovit Klein,Roosevelt Roberts,1.15,UFC,
Mateusz Rebecki,Nurullo Aliev,1.54,UFC 295: Jones vs. Miocic,
Mateusz Rebecki,Fabiano Silva,,FEN 28: LOTOS Fight Night,
Mateusz Rebecki,Chris Duncan,1.42,UFC Fight Night: Albazi vs Taira Odds,
Mateusz Rebecki,Arkadiy Osipyan,1.14,FEN,
Mateusz Rebecki,Diego Ferreira,1.41,UFC,
Mateusz Rebecki,Rodrigo Lidio,1.43,DWCS Week 6,
Mateusz Rebecki,Roosevelt Roberts,1.14,UFC,
Mateusz Rebecki,Felipe Maia,1.2,FEN 36,
Mateusz Rebecki,Aigun Akhmedov,1.29,FEN 36,
Mateusz Rebecki,Jose Barrios Vargas,1.13,FEN 32: LOTOS Fight Night 4,
Mateusz Rebecki,Ludovit Klein,1.67,UFC 321 Odds,
Mateusz Rebecki,Myktybek Orolbai,2,UFC,
Ikram Aliskerov,Nassourdine Imavov,1.8,UFC 294,
Ikram Aliskerov,Andre Muniz,1.15,UFC,
Ikram Aliskerov,Andre Muniz,1.15,UFC,
Ikram Aliskerov,Robert Whittaker,1.95,UFC,
Ikram Aliskerov,Miro Jurkovic,,Brave CF 49: Super Fights,
Ikram Aliskerov,Mario Sousa,1.25,DWCS Week 8,
Ikram Aliskerov,Warlley Alves,1.25,UFC 294,
Ikram Aliskerov,Phillip Hawes,1.4,UFC Fight Night 225,
Ikram Aliskerov,Junyong Park,1.29,UFC 321 Odds,
Ikram Aliskerov,Nah-Shon Burrell,1.31,Eagle FC 46,
Junyong Park,Ikram Aliskerov,3.85,UFC 321 Odds,
Nasrat Haqparast,Joaquim Silva,1.43,UFC on ESPN 5: Covington vs. Lawler,
Nasrat Haqparast,Alex Munoz,1.49,UFC on ESPN+ 32: Lewis vs. Oleinik,
Nasrat Haqparast,Jamie Mullarkey,1.54,UFC,
Nasrat Haqparast,Bobby Green,1.91,UFC 271,
Nasrat Haqparast,Drew Dober,1.3,UFC 246: McGregor vs. Cowboy,
Nasrat Haqparast,Marc Diakiese,3.25,UFC Fight Night 134: Shogun vs. Smith,
Nasrat Haqparast,Jared Gordon,1.44,UFC,
Nasrat Haqparast,Rafa Garcia,1.26,UFC Fight Night 187: Edwards vs. Muhammad,
Nasrat Haqparast,Esteban Ribovics,2.95,UFC,
Nasrat Haqparast,Marcin Held,3.85,UFC Fight Night 118: Cerrone vs. Till,
Nasrat Haqparast,Quillan Salkilld,2.3,UFC 321 Odds,
Nasrat Haqparast,Thibault Gouti,1.29,UFC Fight Night 138: Volkan vs. Smith,
Nasrat Haqparast,Landon Quinones,1.29,UFC 293,
Nasrat Haqparast,Daniel Hooker,2.3,UFC 266: Volkanovski vs. Ortega,
Nasrat Haqparast,John Makdessi,1.5,UFC Fight Night: Gane vs. Tuivasa,
Quillan Salkilld,Jae Hyun Park,1.44,Road to UFC,
Quillan Salkilld,Anshul Jubli,1.24,UFC,
Quillan Salkilld,Yanal Ashmouz,1.33,UFC 316,
Quillan Salkilld,Nasrat Haqparast,1.67,UFC 321 Odds,
Quillan Salkilld,Gauge Young,1.5,Contender Series,
Abdul-Kareem Al-Selwady,Jordan Leavitt,1.4,UFC,
Abdul-Kareem Al-Selwady,Loik Radzhabov,2.42,UFC,
Abdul-Kareem Al-Selwady,Nick Compton,1.29,Fury FC 58,
Abdul-Kareem Al-Selwady,George Hardwick,3.4,Contender Series,
Abdul-Kareem Al-Selwady,Bolaji Oki,2.3,UFC,
Abdul-Kareem Al-Selwady,Guram Kutateladze,3,UFC,
Abdul-Kareem Al-Selwady,Konnor Kuppe,,LFA 89: Moore vs. Giannetti,
Abdul-Kareem Al-Selwady,Chris Pecero,1.11,Fury FC 69,
Abdul-Kareem Al-Selwady,Matheus Camilo,1.74,UFC 321 Odds,
Abdul-Kareem Al-Selwady,Jake Sebastion,1.38,LFA 103: Carlyle vs. Dagvadorj,
Matheus Camilo,Dorian Ramos,1.72,Fury FC,
Matheus Camilo,Sam Kilmer,2.4,Fury FC 55,
Matheus Camilo,Tyrek Malveaux,1.91,Fury FC 65,
Matheus Camilo,Aric Mercado,1.91,Fury FC 57,
Matheus Camilo,Gabe Green,1.56,UFC,
Matheus Camilo,Abdul-Kareem Al-Selwady,2.15,UFC 321 Odds,
Matheus Camilo,Jake Heffernan,2.25,Fury FC 74,
Jose Delgado,Lucas Farfan,1.29,LFA,
Jose Delgado,Ernie Juarez,1.36,Dana White’s Contender Series,
Jose Delgado,Connor Matthews,1.59,UFC,
Jose Delgado,Hyder Amil,1.76,UFC,
Jose Delgado,Nathaniel Wood,1.95,UFC 321 Odds,
Nathaniel Wood,Liudvik Sholinian,1.25,UFC Fight Night 205,
Nathaniel Wood,Chase Morton,,Bellator 158: London,
Nathaniel Wood,Steve McCombe,,Cage Warriors 74: Dalby vs. Bahari,
Nathaniel Wood,Alan Philpott,1.77,BAMMA 24: Kone vs. Phillips,
Nathaniel Wood,Johnny Eduardo,1.38,UFC Fight Night 131: Rivera vs. Moraes,
Nathaniel Wood,Jose Quinonez,1.38,UFC on ESPN+ 5: Till vs. Masvidal,
Nathaniel Wood,Vaughan Lee,,Cage Warriors 80: Inman vs. Amoussou,
Nathaniel Wood,Andre Fili,1.5,UFC 292,
Nathaniel Wood,Charles Rosa,1.29,UFC Fight Night: Blaydes vs. Aspinall,
Nathaniel Wood,John Dodson,1.59,UFC on ESPN+ 25: Anderson vs. Blachowicz 2,
Nathaniel Wood,Daniel Pineda,1.29,UFC,
Nathaniel Wood,Luca Iovine,1.25,Cage Warriors 92: Super Saturday,
Nathaniel Wood,Vaughan Lee,1.83,Cage Warriors 82: Pimblett vs. Narimani,
Nathaniel Wood,Andre Ewell,1.91,UFC 232: Jones vs. Gustafsson 2,
Nathaniel Wood,Casey Kenney,2.25,UFC 254: Khabib vs. Gaethje,
Nathaniel Wood,Morgan Charriere,2.4,UFC,
Nathaniel Wood,Josh Reed,1.36,Cage Warriors 86: Wood vs. Reed,
Nathaniel Wood,Muhammad Naimov,1.36,UFC 294,
Nathaniel Wood,John Castaneda,1.27,UFC on ESPN 14: Whittaker vs. Till,
Nathaniel Wood,Jose Delgado,1.87,UFC 321 Odds,
Nathaniel Wood,Marko Kovacevic,1.57,Cage Warriors 84: Wood vs. Kovacevic,
Nathaniel Wood,Charles Jourdain,2.7,UFC Fight Night: Gane vs. Tuivasa,
Chris Barnett,Martin Buday,3.4,UFC Fight Night,
Chris Barnett,Gian Villante,2.3,UFC 268: Usman vs. Covington 2,
Chris Barnett,Tom Sauer,,Bellator Fighting Championship 72,
Chris Barnett,Martin Buday,2.2,UFC Fight Night: UFC Fight Night 206,
Chris Barnett,Chase Sherman,3.1,UFC 287,
Chris Barnett,Kirill Sidelnikov,1.59,Rizin 1,
Chris Barnett,Jack May,1.42,XMMA 1,
Chris Barnett,Ben Rothwell,2.85,UFC Fight Night 188: Font vs. Garbrandt,
Chris Barnett,Junior Tafa,3.1,UFC,
Chris Barnett,Hamdy Abdelwahab,2.95,UFC 321 Odds,
Chris Barnett,Kennedy Nzechukwu,5.75,UFC,
Chris Barnett,Jake Collier,3.5,UFC 279,
Hamdy Abdelwahab,Jamal Pogues,2.05,UFC,
Hamdy Abdelwahab,Don'tale Mayes,1.83,UFC 277: Pena vs. Nunes 2,
Hamdy Abdelwahab,Mohammed Usman,1.67,UFC Fight Night,
Hamdy Abdelwahab,Chris Barnett,1.43,UFC 321 Odds,
Azat Maksum,Tyson Nam,,UFC Fight Night 226,
Azat Maksum,Michael Aljarouj,,Brave CF 48: Arabian Night,
Azat Maksum,Flavio de Queiroz,1.5,Brave CF 53,
Azat Maksum,Charles Johnson,1.68,UFC Fight Night,
Azat Maksum,Tyson Nam,1.25,UFC Fight Night 225,
Azat Maksum,Tagir Ulanbekov,3.3,UFC Fight Night,
Azat Maksum,Mitch Raposo,1.4,UFC 321 Odds,
Mitch Raposo,Justin Valentin,1.06,Cage Titans 63,
Mitch Raposo,Sumudaerji Sumudaerji,2.5,UFC,
Mitch Raposo,Flavio Carvalho,1.25,CES 71,
Mitch Raposo,Andre Lima,3.25,UFC,
Mitch Raposo,Israel Galvan,1.17,CES 70,
Mitch Raposo,Pololu Nakanelua,,LFA 101: The Undefeated,
Mitch Raposo,Azat Maksum,3.1,UFC 321 Odds,
Mitch Raposo,Jake Hadley,2.55,DWCS Week 7,
Jaqueline Amorim,Polyana Viana,1.29,UFC Fight Night,
Jaqueline Amorim,Montserrat Ruiz,1.3,UFC Fight Night 226,
Jaqueline Amorim,Loveth Young,1.67,LFA 125,
Jaqueline Amorim,Taisha Gandy,1.25,LFA 101: The Undefeated,
Jaqueline Amorim,Cory McKenna,1.87,UFC,
Jaqueline Amorim,Loveth Young,1.25,LFA 118,
Jaqueline Amorim,Mizuki Inoue,1.25,UFC 321 Odds,
Jaqueline Amorim,Ashley Nichols,1.25,LFA 142,
Jaqueline Amorim,Vanessa Demopoulos,1.2,UFC,
Mizuki Inoue,Sharon Jacobson,,Invicta FC: Phoenix Rising Series Strawweight Tournament,
Mizuki Inoue,Amanda Lemos,1.74,UFC on ESPN 15: Munhoz vs. Edgar,
Mizuki Inoue,Wu Yanan,1.95,UFC on ESPN+ 15: Andrade vs. Zhang,
Mizuki Inoue,Alexa Grasso,2.25,Invicta FC 11: Cyborg vs. Tweet,
Mizuki Inoue,Lacey Schuckman,1.21,Invicta FC 15: Cyborg vs. Ibragimova,
Mizuki Inoue,Bec Hyatt,2.9,Invicta FC 6: Cyborg vs. Coenen II,
Mizuki Inoue,Lynn Alvarez,1.25,Invicta FC 18: Grasso vs. Esquibel,
Mizuki Inoue,Virna Jandiroba,1.83,Invicta FC 28: Mizuki vs. Jandiroba,
Mizuki Inoue,Karolina Kowalkiewicz,1.48,Invicta FC 9: Honchak vs. Hashi,
Mizuki Inoue,Viviane Pereira,1.83,Invicta FC 32: Spencer vs. Sorenson,
Mizuki Inoue,Jaqueline Amorim,4.3,UFC 321 Odds,
Mizuki Inoue,Hannah Goldy,1.36,UFC on ESPN 53,
Carlos Prates,Geoff Neal,1.34,UFC 319,
Carlos Prates,Li Jingliang,1.38,UFC,
Carlos Prates,Mitch Ramirez,1.5,Contender Series,
Carlos Prates,Trevin Giles,2.1,UFC,
Carlos Prates,Charles Radtke,1.53,UFC Fight Night,
Carlos Prates,Eduardo Ramon,1.36,LFA 154,
Carlos Prates,Neil Magny,1.17,UFC,
Carlos Prates,Leon Edwards,1.53,UFC 322,
Carlos Prates,Moacir Rocha,1.25,LFA 146,
Leon Edwards,Shavkat Rakhmonov,4.7,Unconfirmed Fights,
Leon Edwards,Sean Brady,2.07,UFC,
Leon Edwards,Claudio Henrique da Silva,1.71,UFC Fight Night 56: Shogun vs. St. Preux,
Leon Edwards,Jorge Masvidal,1.5,UFC 269,
Leon Edwards,Nate Diaz,1.36,UFC 263: Adesanya vs. Vettori 2,
Leon Edwards,Kamaru Usman,3.85,UFC 286,
Leon Edwards,Pawel Pawlak,1.48,UFC Fight Night 72: Bisping vs. Leites,
Leon Edwards,Kamaru Usman,1.88,Unconfirmed Fights,
Leon Edwards,Carlos Prates,2.5,UFC 322,
Leon Edwards,Seth Baczynski,1.77,UFC Fight Night 64: Gonzaga vs. Cro Cop II,
Leon Edwards,Gunnar Nelson,1.77,UFC on ESPN+ 5: Till vs. Masvidal,
Leon Edwards,Colby Covington,2.65,UFC,
Leon Edwards,Rafael Dos Anjos,1.95,UFC on ESPN 4: Dos Anjos vs. Edwards,
Leon Edwards,Peter Sobotta,1.33,UFC Fight Night 127: Werdum vs. Volkov,
Leon Edwards,Wendle Lewis,,BAMMA 14: Daley vs. da Silva,
Leon Edwards,Donald Cerrone,2.15,UFC Fight Night 132: Cowboy vs. Edwards,
Leon Edwards,Bryan Barberena,1.32,UFC Fight Night 115: Volkov vs. Struve,
Leon Edwards,Albert Tumenov,2.8,UFC 204: Bisping vs. Henderson 2,
Leon Edwards,Kamaru Usman,3.5,UFC 278: Usman vs. Edwards 2,
Leon Edwards,Jack Della Maddalena,2.35,UFC,
Leon Edwards,Belal Muhammad,1.34,UFC,
Leon Edwards,Kamaru Usman,2,UFC on FOX 17: Dos Anjos vs. Cerrone,
Leon Edwards,Khamzat Chimaev,3.5,Future Events,
Leon Edwards,Belal Muhammad,1.37,UFC Fight Night 187: Edwards vs. Muhammad,
Leon Edwards,Dominic Waters,1.38,UFC Fight Night 87: Overeem vs. Arlovski,
Leon Edwards,Vicente Luque,2.35,UFC Fight Night 107: Manuwa vs. Anderson,
Arman Tsarukyan,Beneil Dariush,2,UFC,
Arman Tsarukyan,Mateusz Gamrot,,UFC Fight Night 208,
Arman Tsarukyan,Mateusz Gamrot,1.71,UFC on ESPN: Tsarukyan vs. Gamrot,
Arman Tsarukyan,Joaquim Silva,1.1,UFC Fight Night 227,
Arman Tsarukyan,Ilia Topuria,3.9,Unconfirmed Fights,
Arman Tsarukyan,Dan Hooker,1.32,UFC Qatar,
Arman Tsarukyan,Christos Giagos,1.33,UFC Fight Night: Smith vs. Spann,
Arman Tsarukyan,Charles Oliveira,2,UFC 300,
Arman Tsarukyan,Davi Ramos,1.43,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,
Arman Tsarukyan,Olivier Aubin-Mercier,1.33,UFC 240: Holloway vs. Edgar,
Arman Tsarukyan,Islam Makhachev,4.25,UFC on ESPN+ 7: Overeem vs. Oleinik,
Arman Tsarukyan,Damir Ismagulov,1.44,UFC Fight Night 217,
Arman Tsarukyan,Joel Alvarez,1.57,UFC Fight Night 203,
Arman Tsarukyan,Islam Makhachev,3.6,UFC,
Arman Tsarukyan,Matt Frevola,1.15,UFC 257: Poirier vs. McGregor 2,
Dan Hooker,Michael Chandler,1.35,Unconfirmed Fights,
Dan Hooker,Jalin Turner,2.54,UFC,
Dan Hooker,Ross Pearson,1.91,UFC Fight Night 110: Lewis vs. Hunt,
Dan Hooker,Bobby Green,1.57,UFC Fight Night,
Dan Hooker,Jim Miller,1.37,UFC Fight Night 128: Barboza vs. Lee,
Dan Hooker,Claudio Puelles,1.5,UFC 281,
Dan Hooker,Jason Knight,1.59,UFC Fight Night 101: Whittaker vs. Brunson,
Dan Hooker,Ilia Topuria,5.5,Unconfirmed Fights,
Dan Hooker,Arman Tsarukyan,3.6,UFC Qatar,
Dan Hooker,Al Iaquinta,1.91,UFC 243: Whittaker vs. Adesanya,
Dan Hooker,Gilbert Burns,1.63,UFC 226: Miocic vs. Cormier,
Dan Hooker,Marc Diakiese,2.7,UFC 219: Cyborg vs. Holm,
Dan Hooker,Michael Chandler,1.63,UFC 257: Poirier vs. McGregor 2,
Dan Hooker,Paul Felder,1.83,UFC on ESPN+ 26: Felder vs. Hooker,
Dan Hooker,James Vick,1.54,UFC on ESPN 4: Dos Anjos vs. Edwards,
Dan Hooker,Dustin Poirier,2.35,UFC on ESPN 12: Poirier vs. Hooker,
Dan Hooker,Mateusz Gamrot,3.2,UFC,
Dan Hooker,Edson Barboza,1.74,UFC on FOX 31: Lee vs. Iaquinta 2,
Belal Muhammad,Shavkat Rakhmonov,4.1,Unconfirmed Fights,
Belal Muhammad,Leon Edwards,3.4,UFC,
Belal Muhammad,Quinton McCottrell,,Bellator Fighting Championship 84,
Belal Muhammad,Chance Rencountre,1.25,UFC Fight Night 131: Rivera vs. Moraes,
Belal Muhammad,Demian Maia,1.45,UFC 263: Adesanya vs. Vettori 2,
Belal Muhammad,Leon Edwards,3.2,UFC Fight Night 187: Edwards vs. Muhammad,
Belal Muhammad,Dhiego Lima,1.29,UFC 258: Usman vs. Burns,
Belal Muhammad,Islam Makhachev,4.1,Unconfirmed Fights,
Belal Muhammad,Ian Machado Garry,2.55,UFC Qatar,
Belal Muhammad,Gilbert Burns,2.4,UFC Fight Night 225,
Belal Muhammad,Augusto Montano,1.33,UFC Fight Night 94: Johnson vs. Poirier,
