design_matrix_id,botanical_entry_id,food_forest_layer,canonical_layer_primary,canonical_layer_secondary,layer_stack_tags,guild_role,shade_tolerance,water_need,companion_tags,notes,source_table,source_row
SDM-BOT-BR-0529,BOT-BR-0529,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Montane/cloud-edge guild; Epiphyte/host network guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,281918
SDM-BOT-BR-0530,BOT-BR-0530,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber;xeric_support,medium_to_high,low,Restinga soil binder; Epiphyte/host network guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15633
SDM-BOT-BR-0531,BOT-BR-0531,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Ubatuba vertical support liana; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,125845
SDM-BOT-BR-0532,BOT-BR-0532,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Montane/cloud-edge guild; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,125843
SDM-BOT-BR-0533,BOT-BR-0533,Canopy,canopy,,primary:canopy;raw:canopy_tree;plant_type:tree;size:XL,structural,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=canopy,angiospermsdatabase.xlsx,4393
SDM-BOT-BR-0534,BOT-BR-0534,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,8427
SDM-BOT-BR-0535,BOT-BR-0535,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium_to_high,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,104773
SDM-BOT-BR-0536,BOT-BR-0536,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium,Ubatuba small-tree nurse canopy; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,290452
SDM-BOT-BR-0537,BOT-BR-0537,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,88067
SDM-BOT-BR-0538,BOT-BR-0538,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:succulent_layer;plant_type:succulent_cactus;secondary:aquatic_marginal;size:M,fruit_producer;wetland_filter;xeric_support,medium_to_high,low,Restinga soil binder; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,1609
SDM-BOT-BR-0539,BOT-BR-0539,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,105766
SDM-BOT-BR-0540,BOT-BR-0540,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium,Ubatuba small-tree nurse canopy; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,8482
SDM-BOT-BR-0541,BOT-BR-0541,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:succulent_layer;plant_type:succulent_cactus;secondary:aquatic_marginal;size:M,fruit_producer;wetland_filter;xeric_support,medium_to_high,low,Restinga soil binder; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,1613
SDM-BOT-BR-0542,BOT-BR-0542,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:succulent_layer;plant_type:succulent_cactus;secondary:aquatic_marginal;size:M,fruit_producer;wetland_filter;xeric_support,medium_to_high,low,Restinga soil binder; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,1614
SDM-BOT-BR-0543,BOT-BR-0543,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium,Ubatuba small-tree nurse canopy; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,31716
SDM-BOT-BR-0544,BOT-BR-0544,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,xeric_support,medium_to_high,low,Ubatuba shrub matrix companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,32110
SDM-BOT-BR-0545,BOT-BR-0545,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:subshrub_herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Ubatuba understory companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,12469
SDM-BOT-BR-0546,BOT-BR-0546,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:subshrub_layer;plant_type:subshrub;secondary:aquatic_marginal;size:S,pollinator_support,medium_to_high,medium,Ubatuba understory companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,12483
SDM-BOT-BR-0547,BOT-BR-0547,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,xeric_support,medium_to_high,low,Ubatuba shrub matrix companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,32121
