design_matrix_id,botanical_entry_id,food_forest_layer,canonical_layer_primary,canonical_layer_secondary,layer_stack_tags,guild_role,shade_tolerance,water_need,companion_tags,notes,source_table,source_row
SDM-BOT-BR-0145,BOT-BR-0145,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,19749
SDM-BOT-BR-0146,BOT-BR-0146,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:subshrub_herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Montane/cloud-edge guild; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,102955
SDM-BOT-BR-0147,BOT-BR-0147,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,7506
SDM-BOT-BR-0148,BOT-BR-0148,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:subshrub_herb;secondary:aquatic_marginal;size:S,nitrogen_fixer;wetland_filter;xeric_support,medium_to_high,low,Riparian/wetland stabilizer; Nitrogen input guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,82605
SDM-BOT-BR-0149,BOT-BR-0149,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural;xeric_support,medium_to_high,low,Ubatuba small-tree nurse canopy; Bird/bat food-web guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,19967
SDM-BOT-BR-0150,BOT-BR-0150,Canopy,canopy,palm,primary:canopy;raw:palm_layer;plant_type:palm;palm;size:XL,structural,medium_to_high,medium,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=canopy,angiospermsdatabase.xlsx,15666
SDM-BOT-BR-0151,BOT-BR-0151,Sub-canopy,subcanopy,palm,primary:subcanopy;raw:palm_layer;plant_type:palm;palm;size:XL,structural;xeric_support,medium_to_high,low,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,15667
SDM-BOT-BR-0152,BOT-BR-0152,Canopy,canopy,palm,primary:canopy;raw:palm_layer;plant_type:palm;palm;size:XL,structural,medium_to_high,medium,Ubatuba small-tree nurse canopy; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=canopy,angiospermsdatabase.xlsx,33974
SDM-BOT-BR-0153,BOT-BR-0153,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural;xeric_support,medium_to_high,low,Ubatuba small-tree nurse canopy; Bird/bat food-web guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,20873
SDM-BOT-BR-0154,BOT-BR-0154,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural;xeric_support,medium_to_high,low,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,32703
SDM-BOT-BR-0155,BOT-BR-0155,Sub-canopy,subcanopy,,primary:subcanopy;raw:subcanopy_tree_shrub;plant_type:tree_shrub;size:L,structural,medium_to_high,medium_to_high,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,38451
SDM-BOT-BR-0156,BOT-BR-0156,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,101616
SDM-BOT-BR-0157,BOT-BR-0157,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,15407
SDM-BOT-BR-0158,BOT-BR-0158,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,101473
SDM-BOT-BR-0159,BOT-BR-0159,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,101479
SDM-BOT-BR-0160,BOT-BR-0160,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,15408
SDM-BOT-BR-0161,BOT-BR-0161,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,15409
SDM-BOT-BR-0162,BOT-BR-0162,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green,medium_to_high,medium,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,124397
SDM-BOT-BR-0163,BOT-BR-0163,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green,medium_to_high,medium,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,124398
SDM-BOT-BR-0164,BOT-BR-0164,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium_to_high,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,112500
SDM-BOT-BR-0165,BOT-BR-0165,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green,medium_to_high,medium,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,110196
SDM-BOT-BR-0166,BOT-BR-0166,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,110258
SDM-BOT-BR-0167,BOT-BR-0167,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,pollinator_support,medium_to_high,medium,Ubatuba understory companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,4913
SDM-BOT-BR-0168,BOT-BR-0168,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Rocky outcrop resilience guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,4966
SDM-BOT-BR-0169,BOT-BR-0169,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,4090
SDM-BOT-BR-0170,BOT-BR-0170,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,wetland_filter,medium_to_high,medium,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,4092
SDM-BOT-BR-0171,BOT-BR-0171,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,4102
SDM-BOT-BR-0172,BOT-BR-0172,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:shrub_layer;plant_type:shrub;secondary:aquatic_marginal;size:M,structural,medium_to_high,medium,Ubatuba shrub matrix companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,4103
SDM-BOT-BR-0173,BOT-BR-0173,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green,medium_to_high,medium,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,290519
SDM-BOT-BR-0174,BOT-BR-0174,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;wetland_filter,medium_to_high,medium,Restinga soil binder; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,103058
SDM-BOT-BR-0175,BOT-BR-0175,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;wetland_filter,medium_to_high,medium,Restinga soil binder; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,103059
SDM-BOT-BR-0176,BOT-BR-0176,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Ubatuba understory companion; Nitrogen input guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,18095
SDM-BOT-BR-0177,BOT-BR-0177,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,pollinator_support,medium_to_high,low_to_medium,Ubatuba understory companion; Nitrogen input guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,29457
SDM-BOT-BR-0178,BOT-BR-0178,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,xeric_support,medium_to_high,low,Ubatuba understory companion; Nitrogen input guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,29485
SDM-BOT-BR-0179,BOT-BR-0179,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,leafy_green;xeric_support,medium_to_high,low,Ubatuba understory companion; Pollinator support guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,126840
SDM-BOT-BR-0180,BOT-BR-0180,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,26586
SDM-BOT-BR-0181,BOT-BR-0181,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber;xeric_support,medium_to_high,low,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15751
SDM-BOT-BR-0182,BOT-BR-0182,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,26587
SDM-BOT-BR-0183,BOT-BR-0183,Herbaceous / Aquatic / Marginal,herbaceous,aquatic_marginal,primary:herbaceous;raw:herb_layer;plant_type:herb;secondary:aquatic_marginal;size:S,pollinator_support,medium_to_high,medium,Ubatuba understory companion; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=herbaceous,angiospermsdatabase.xlsx,103027
SDM-BOT-BR-0184,BOT-BR-0184,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,80576
SDM-BOT-BR-0185,BOT-BR-0185,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,103028
SDM-BOT-BR-0186,BOT-BR-0186,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,26592
SDM-BOT-BR-0187,BOT-BR-0187,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber;xeric_support,medium_to_high,low,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15756
SDM-BOT-BR-0188,BOT-BR-0188,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,77934
SDM-BOT-BR-0189,BOT-BR-0189,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium_to_high,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,26600
SDM-BOT-BR-0190,BOT-BR-0190,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15760
SDM-BOT-BR-0191,BOT-BR-0191,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,103038
SDM-BOT-BR-0192,BOT-BR-0192,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium_to_high,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,25201
SDM-BOT-BR-0193,BOT-BR-0193,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15762
SDM-BOT-BR-0194,BOT-BR-0194,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,80583
SDM-BOT-BR-0195,BOT-BR-0195,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Coastal_Restinga; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,103040
SDM-BOT-BR-0196,BOT-BR-0196,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15764
SDM-BOT-BR-0197,BOT-BR-0197,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,medium_to_high,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,15767
SDM-BOT-BR-0198,BOT-BR-0198,Climber,climber,,primary:climber;raw:vine_layer;plant_type:liana_vine;size:L,climber,medium_to_high,low_to_medium,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=climber,angiospermsdatabase.xlsx,26605
SDM-BOT-BR-0199,BOT-BR-0199,Shrub / Aquatic / Marginal,shrub,aquatic_marginal,primary:shrub;raw:succulent_layer;plant_type:succulent_cactus;secondary:aquatic_marginal;size:M,xeric_support,low,low,Rocky outcrop resilience guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=shrub,angiospermsdatabase.xlsx,1416
SDM-BOT-BR-0200,BOT-BR-0200,Canopy,canopy,,primary:canopy;raw:canopy_tree;plant_type:tree;size:XL,structural,low,low_to_medium,Rocky outcrop resilience guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=canopy,angiospermsdatabase.xlsx,25124
SDM-BOT-BR-0201,BOT-BR-0201,Sub-canopy,subcanopy,palm,primary:subcanopy;raw:palm_layer;plant_type:palm;palm;size:XL,structural,medium_to_high,low_to_medium,Rocky outcrop resilience guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=subcanopy,angiospermsdatabase.xlsx,33985
SDM-BOT-BR-0202,BOT-BR-0202,Canopy,canopy,palm,primary:canopy;raw:palm_layer;plant_type:palm;palm;size:XL,structural,medium_to_high,medium,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,biome_tags=Atlantic_Forest|Highland; Layer mapping derived from JBRJ life form + phytogeographic domains. | Ubatuba focus companion tags and guild-role overlays added. | normalized_layer_primary=canopy,angiospermsdatabase.xlsx,43612
